num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
3,13,51,19,1,4,8,46,40,39,snappy,17.75,4633.91
8,9,6,13,7,4,8,11,55,76,none,48.15,74.03
15,10,82,17,17,12,24,31,22,28,lz4,45.45,33.96
17,11,28,4,17,3,18,12,47,61,gzip,7.78,202.16
9,7,26,10,9,19,23,41,50,21,none,50.82,49.35
16,3,26,16,11,5,6,35,38,1,gzip,8.22,12.13
14,14,24,7,9,8,3,31,3,64,gzip,8.5,14.6
7,9,97,20,16,15,2,39,20,61,snappy,40.49,33.93
3,17,96,18,19,14,24,48,32,93,lz4,47.14,37.62
20,3,45,9,8,4,26,14,29,39,lz4,45.17,36.15
19,7,69,4,13,6,24,47,24,41,lz4,49.98,30.69
17,14,61,16,2,15,10,35,48,74,none,34.54,661.45
6,9,96,10,16,2,11,1,10,60,snappy,35.97,24.33
9,15,68,3,2,13,24,47,34,92,lz4,35.64,221.09
19,23,9,13,17,13,9,11,16,12,snappy,40.47,26.72
14,23,12,17,6,17,7,39,18,28,snappy,39.63,31.58
18,3,19,16,13,20,22,29,23,15,none,49.02,69.86
5,16,27,9,18,3,9,3,10,30,lz4,42.02,25.05
17,12,66,7,17,1,12,11,2,86,none,26.83,1573.14
15,24,49,6,8,11,27,46,53,8,gzip,7.8,56.25
14,22,98,19,8,10,22,23,26,64,gzip,7.69,99.33
16,22,25,12,7,8,30,22,25,99,gzip,7.89,93.27
11,12,70,2,7,16,15,8,29,75,none,47.01,59.46
11,12,72,13,11,15,2,10,16,48,snappy,39.07,30.53
14,16,86,20,18,1,7,48,50,14,none,48.32,54.46
17,22,64,15,6,18,6,20,4,70,gzip,8.53,17.72
2,18,29,11,7,1,10,33,7,23,lz4,31.91,621.54
16,13,13,2,12,8,30,11,33,47,none,48.56,123.86
18,24,88,13,16,2,11,34,33,14,none,50.46,40.68
2,17,85,20,4,1,14,8,40,28,lz4,38.23,128.81
12,12,7,18,12,14,5,28,27,48,lz4,46.2,35.34
4,5,17,4,2,16,17,39,19,29,lz4,34.49,340.27
8,3,37,8,17,17,7,5,58,38,none,50.51,66.97
6,9,19,20,9,20,19,31,54,42,snappy,31.53,61.63
10,8,88,11,9,14,22,16,51,46,gzip,7.86,184.59
17,24,84,6,14,11,7,8,9,69,snappy,37.86,23.89
7,17,21,20,7,17,5,19,23,54,none,47.05,51.84
13,24,38,10,19,20,5,9,42,24,lz4,45.83,44.06
7,19,59,4,10,12,6,34,15,21,none,49.62,27.39
13,24,17,17,14,8,14,14,55,99,gzip,7.91,205.68
3,17,58,12,4,7,12,15,45,19,gzip,7.54,132.47
17,22,69,6,16,4,2,17,21,29,lz4,44.31,27.63
15,24,89,18,14,12,26,48,34,9,snappy,44.22,33.03
7,13,94,13,10,9,3,2,9,26,gzip,8.2,36.86
13,15,61,13,9,10,5,9,10,45,snappy,38.42,23.35
7,12,77,14,3,7,22,42,64,5,gzip,7.67,38.59
16,4,67,4,16,10,22,8,41,9,lz4,46.69,51.46
15,21,13,15,4,20,5,17,58,9,snappy,39.16,71.94
7,23,23,5,1,9,14,17,18,3,lz4,19.78,3346.31
20,4,97,2,19,16,24,21,64,90,none,50.02,56.88
5,5,41,13,12,17,17,44,19,82,none,49.9,34
11,2,41,2,20,14,26,19,54,28,lz4,44.86,58.88
6,8,97,1,8,13,27,39,49,24,snappy,42.45,49.12
11,14,35,12,11,6,15,14,53,9,gzip,7.8,63.93
3,22,81,11,11,1,16,7,21,15,gzip,7.91,80.08
7,14,69,5,8,19,9,17,34,71,snappy,43.37,38.52
3,6,83,14,18,4,1,26,8,51,snappy,33.42,88.66
11,8,34,12,16,7,21,12,12,96,gzip,7.93,46.92
12,4,8,14,13,16,17,19,36,53,lz4,46.61,40
15,16,69,9,16,9,2,30,64,41,gzip,8.06,219.32
15,7,37,1,12,14,7,44,18,27,lz4,44.31,26.48
12,10,98,5,8,9,15,20,26,56,snappy,42.72,32.74
9,2,28,17,7,13,3,14,13,39,none,46.18,54.56
4,9,41,20,19,5,4,30,31,33,none,46.84,54.11
4,22,28,20,14,11,18,16,16,94,gzip,7.94,62.69
5,6,96,10,6,18,6,29,29,35,snappy,41.69,38.81
7,20,45,8,3,15,6,22,37,2,lz4,38.45,59.55
12,3,30,9,19,13,15,43,40,71,snappy,43.93,43.16
14,15,82,1,16,7,6,27,37,9,gzip,7.77,63.83
