num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
1,16,64,2,7,8,17,36,35,19,snappy,10.17,5862.91
4,4,90,16,16,7,25,40,30,63,snappy,12.11,5390.98
14,23,97,12,20,19,20,34,13,46,gzip,7.28,46.61
18,17,90,10,15,5,3,21,38,52,snappy,12.96,2715.84
17,7,98,11,13,1,7,47,56,8,gzip,6.93,83.3
18,19,30,4,10,11,17,1,33,13,snappy,11.18,97.99
18,10,49,20,19,18,8,4,48,20,gzip,7,113.69
8,7,33,20,16,14,28,44,52,36,gzip,6.98,121.98
15,4,21,9,13,15,26,9,28,58,gzip,7.03,69.27
11,24,72,10,14,19,5,3,8,5,snappy,7.58,679.86
5,11,7,14,4,2,3,33,54,98,snappy,12.16,4350.21
1,8,79,3,12,15,8,1,17,88,none,10.36,158.03
4,10,95,20,6,5,28,5,63,20,gzip,6.92,142.7
12,11,51,9,9,3,14,21,23,22,gzip,7.14,58.38
3,8,82,2,19,18,9,13,31,9,lz4,12.46,1831.62
5,22,94,1,20,15,6,9,53,41,snappy,13.49,1136.04
15,13,51,12,9,6,3,44,58,6,none,14.7,5023
3,16,22,17,5,6,24,16,30,76,lz4,12.96,2174.71
2,16,64,12,18,9,22,46,29,2,gzip,7.46,27.62
11,3,91,18,14,20,30,35,32,84,lz4,13.23,4325.96
11,21,52,20,6,19,15,24,26,57,lz4,12.32,3347.91
1,21,15,14,4,12,3,39,39,40,gzip,7.07,94.98
11,17,44,10,3,9,16,8,24,52,snappy,11.21,1230.79
12,13,94,17,8,20,15,24,16,42,snappy,10.94,3626.71
18,11,12,13,3,12,11,21,56,99,gzip,7,130.5
16,1,73,10,6,5,2,8,31,13,lz4,12.55,1135.62
17,24,58,7,7,7,10,29,6,98,snappy,6.67,7098.66
13,16,17,14,3,13,8,4,8,1,snappy,8.33,828.97
15,2,32,11,10,3,14,46,14,22,snappy,10.87,6949.14
20,4,19,17,14,19,29,10,19,27,none,12.13,1526.08
16,15,39,15,13,9,9,7,7,18,lz4,7.8,1579.58
8,12,87,20,2,4,8,26,48,30,lz4,12,3765.74
7,6,67,16,6,19,12,20,43,64,none,13.54,2544.02
20,14,87,17,11,11,9,27,44,18,snappy,13.9,3109.05
16,11,15,8,15,17,10,7,24,16,gzip,7.15,60.63
13,17,95,15,19,15,24,19,17,74,none,11.63,2919.3
5,14,75,7,16,13,15,31,36,70,gzip,7.09,86.8
10,4,29,10,9,9,29,37,17,33,none,11.82,5504.64
5,15,76,9,5,3,16,34,6,16,gzip,7.89,22.73
14,7,77,17,17,2,20,31,6,93,lz4,7.03,7400.42
8,11,65,3,20,18,4,32,47,95,gzip,7.02,112.02
11,6,33,8,12,16,29,20,5,82,gzip,8.08,49.18
4,24,21,18,13,19,6,1,7,30,snappy,7.93,216.87
16,22,36,12,4,2,17,24,37,71,none,12.21,3494.35
5,14,17,5,19,1,9,21,12,51,none,10.19,3691.79
5,11,43,11,6,15,17,26,43,51,snappy,13.47,3180.99
9,8,57,17,6,7,13,9,64,73,none,13.5,1216.52
17,9,94,7,11,11,17,9,35,16,none,14.68,1121.39
13,16,77,7,1,13,12,9,13,24,gzip,7.34,40.88
3,12,63,2,2,14,26,42,31,5,none,10.79,6721.05
17,5,61,1,3,16,21,29,51,47,snappy,12.17,4029.02
10,7,17,13,2,5,6,32,24,45,lz4,10.8,5117.6
11,6,54,20,20,19,21,42,57,50,none,14.68,4655.75
14,14,29,2,12,3,14,12,42,69,none,12.97,1692.81
18,18,54,2,9,11,13,9,15,13,gzip,7.37,41.47
17,18,17,4,8,19,29,44,27,35,gzip,7.09,82.35
16,20,62,13,6,19,5,4,5,28,gzip,8.25,22.38
18,18,57,10,8,7,19,34,26,86,lz4,12.43,4583.56
8,17,91,16,12,11,15,25,33,27,snappy,13.32,3111.74
15,23,94,8,10,12,15,26,7,26,lz4,7.97,5601.48
15,8,49,12,2,17,18,26,60,93,lz4,12.81,3471.76
1,4,41,6,18,9,29,28,40,33,snappy,13.56,3328.82
5,18,82,16,3,16,29,1,34,3,lz4,12.34,125.56
5,15,91,14,1,5,16,17,9,72,none,7.9,3892.24
10,14,35,18,3,13,22,43,18,52,gzip,7.25,51.63
5,5,34,4,13,9,17,16,36,29,none,13.41,2113.4
14,9,87,11,1,13,9,44,53,61,lz4,11.1,6628.59
5,15,91,7,6,2,25,3,23,70,gzip,7.03,60.62
6,22,28,3,5,8,30,17,59,53,snappy,12.58,2251.18
8,16,13,19,13,2,29,46,60,51,none,14.28,5346.55
16,12,70,10,19,20,12,20,17,60,lz4,11.45,3092.11
17,19,73,18,11,13,3,16,20,38,gzip,7.18,51.99
6,8,63,2,16,20,21,33,16,78,lz4,10.1,5603.46
6,10,98,18,11,12,18,14,52,56,gzip,6.97,124.27
9,7,74,16,2,14,8,27,35,94,gzip,7.01,106.72
3,15,83,4,9,8,7,16,32,84,lz4,12.99,2158.91
10,24,40,20,5,10,21,29,53,3,snappy,12.89,3614.52
5,18,30,4,2,5,8,33,9,32,none,8.68,6745.52
19,5,52,9,16,15,8,20,42,38,gzip,6.86,144.25
12,19,23,10,8,5,25,42,41,21,lz4,13.28,5117.58
18,8,59,7,11,13,29,6,9,60,gzip,7.7,27.43
11,12,56,7,15,20,12,48,27,83,gzip,7.1,67.35
3,17,49,7,1,11,2,42,30,90,none,10.33,7145.92
2,3,78,7,19,12,16,46,5,20,none,6.79,11421.16
7,5,42,19,16,9,3,1,17,97,none,11.9,147.61
8,21,85,8,19,2,9,14,12,65,gzip,7.4,34.32
17,9,54,17,2,2,1,26,1,80,gzip,2.92,20419.36
12,19,69,9,18,9,4,1,8,10,snappy,7.54,218.41
2,13,19,6,5,8,18,44,27,87,snappy,11.41,6054.1
4,14,64,19,17,11,14,48,31,93,snappy,12.92,5510.69
15,15,17,16,16,14,2,14,9,10,snappy,8.94,2689.69
10,17,86,4,6,10,10,3,12,14,lz4,9.82,550.4
18,13,64,14,7,20,30,39,53,73,snappy,13.3,4544.98
