num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
2,21,38,10,20,14,4,30,32,44,none,29.39,39.52
1,12,29,7,2,12,10,33,15,28,snappy,12.39,4245.01
17,14,54,8,7,5,21,24,9,79,lz4,22.63,22.12
10,16,22,9,14,8,17,26,10,77,none,28.71,23.33
8,8,38,13,13,10,9,15,62,35,lz4,24.75,60.52
9,10,50,14,16,10,23,10,13,40,gzip,7.42,24.94
17,6,52,20,11,20,10,48,8,75,snappy,22.33,17.45
12,2,83,12,10,16,4,14,10,98,gzip,7.61,19.71
4,17,93,14,1,5,22,4,15,70,none,13.08,565.5
14,18,80,1,16,7,10,8,3,90,gzip,8.81,7.92
4,16,53,3,17,8,28,33,1,71,none,8.3,5377.57
17,9,62,12,11,4,5,29,23,19,gzip,7.12,44.6
10,15,88,17,15,5,24,12,43,48,gzip,7.02,87.6
4,8,7,12,12,6,15,48,21,73,snappy,22.19,47.09
7,6,78,5,20,3,18,33,1,47,snappy,9.48,4750.49
12,3,48,15,15,20,21,4,7,82,gzip,7.82,14.55
17,13,65,9,12,10,8,2,25,66,snappy,24.84,23.81
15,1,76,2,3,2,16,8,42,58,lz4,22.6,91.3
5,4,24,13,15,1,6,19,20,70,lz4,24.94,19.06
6,16,76,13,12,9,7,29,37,71,none,29.61,40.58
6,20,8,10,13,1,15,38,64,72,snappy,25.18,48.86
7,5,55,8,13,18,9,14,22,50,lz4,24.46,22.71
9,14,62,16,15,19,23,3,35,87,snappy,24.87,26.85
1,1,67,14,2,9,29,13,14,58,lz4,13.96,1581.27
20,24,12,19,10,13,9,12,28,59,none,29.64,31.28
15,24,70,1,15,3,5,37,19,39,lz4,24.36,21.39
19,24,17,7,8,3,12,45,19,66,none,29.45,38.19
13,20,41,15,16,5,28,31,6,76,snappy,21.26,23.41
14,18,84,19,14,12,11,39,12,99,none,29.36,19.8
11,7,46,11,7,19,12,36,26,98,gzip,7.16,57.89
1,17,26,17,8,4,23,43,25,58,gzip,7.09,58.61
1,22,21,6,6,14,25,43,45,62,none,27.13,78.42
1,17,69,8,16,10,19,16,4,7,snappy,19.08,776.42
7,7,54,16,5,11,9,28,7,82,snappy,21.44,22.69
6,21,86,16,5,8,27,43,19,18,gzip,7.27,38.59
3,2,17,2,9,14,12,42,45,35,none,30.75,33.58
18,4,30,12,3,15,3,46,50,9,snappy,21.18,73.85
7,15,47,15,20,11,17,20,38,25,gzip,7.03,74.56
14,9,91,14,17,19,27,19,64,92,none,30.88,39.3
20,16,77,19,10,14,5,31,58,97,none,30.9,36.64
16,10,67,20,15,2,1,10,1,47,snappy,9.59,1489.07
6,11,84,2,10,20,25,18,8,66,none,26.74,34.64
4,2,23,3,15,16,13,11,27,19,lz4,24.82,23.68
18,24,27,7,3,15,1,9,32,14,snappy,21.09,82.77
15,11,34,8,12,18,29,27,53,41,none,32.16,32.5
14,5,45,5,8,3,5,12,5,48,gzip,8.33,10.24
11,13,85,16,3,15,21,12,41,63,none,25.47,128.8
4,14,97,12,4,18,4,17,62,75,lz4,23.63,71
11,10,47,11,2,1,7,25,44,34,gzip,6.93,83.73
4,12,81,12,5,12,6,33,14,46,none,28.25,41.56
4,1,18,1,20,11,19,25,14,46,gzip,7.35,26
19,16,42,12,18,5,14,15,43,20,snappy,24.93,34.97
10,23,7,13,10,10,4,2,20,43,lz4,24.87,20.61
17,12,19,3,17,14,23,25,54,8,none,31.89,34.71
5,21,2,13,3,18,17,26,50,32,lz4,22.02,112.05
7,14,52,18,4,4,27,37,3,16,snappy,18.98,1384.75
13,4,84,2,11,5,25,4,63,4,gzip,7.14,32.21
13,23,7,8,19,1,18,15,54,1,gzip,7.96,10.82
17,15,50,11,18,19,11,5,22,75,gzip,7.16,41.39
10,22,92,10,8,4,12,23,27,84,snappy,23.9,31.26
6,8,2,1,13,7,28,4,64,23,none,32.55,35.19
7,2,64,10,18,8,18,12,10,6,none,28.1,29.06
15,18,50,11,15,4,20,10,13,51,snappy,23.63,16.4
20,13,78,3,17,8,16,35,3,7,none,21,2408.29
18,5,80,11,13,7,22,39,28,29,lz4,25.15,23.67
4,14,27,17,13,16,16,20,64,95,none,31.08,36.59
12,12,53,3,7,10,19,38,6,63,snappy,21.39,21.64
18,18,56,10,14,3,14,23,46,20,snappy,24.59,39.34
2,14,73,4,13,9,5,40,56,82,lz4,25.6,36.17
18,4,66,7,20,13,6,43,23,82,snappy,25.16,20.51
7,15,14,11,19,6,11,4,51,66,snappy,24.97,39.86
15,10,53,6,1,3,10,14,63,11,gzip,6.92,82.58
5,15,27,19,2,20,28,3,20,64,lz4,19.83,239.25
15,9,33,1,19,8,20,32,1,3,none,9.15,4897.1
19,23,70,5,20,11,15,28,62,72,none,31.59,34.12
2,15,78,2,3,18,16,35,48,76,gzip,7.01,86.95
