num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
3,8,10,1,10,10,10,16,4,0,none,22.53,823.01
13,13,93,5,18,10,1,1,35,83,gzip,9.51,45.92
9,20,74,6,13,1,1,25,56,38,gzip,9.39,75.17
16,21,82,15,3,11,3,20,20,0,snappy,27.94,546.09
17,14,5,1,8,19,3,11,8,45,snappy,28.46,32.7
19,6,27,19,19,7,4,14,56,8,gzip,9.29,61.03
6,11,28,19,2,4,5,29,40,51,none,23.95,1913.56
15,6,99,17,10,1,5,29,16,27,lz4,29.44,17.56
14,21,62,13,5,12,6,23,34,6,none,33.82,60.99
1,4,17,18,18,1,7,15,54,43,gzip,9.42,86.26
1,2,33,8,12,13,7,31,9,31,snappy,28.08,63.6
7,10,58,13,7,16,8,16,31,98,lz4,30.04,26.77
19,19,50,18,15,9,9,19,1,74,snappy,21.17,1636.92
3,15,54,4,14,4,10,23,3,75,lz4,18.87,1823.62
12,17,13,9,4,15,11,7,49,58,snappy,29.3,82.8
8,6,56,9,6,2,11,47,28,48,lz4,28.43,52.37
16,12,40,14,17,9,12,26,61,10,none,34.89,35.34
3,5,87,6,6,17,13,31,11,85,gzip,10.25,16.27
9,1,12,16,16,9,13,8,41,24,snappy,30.21,31.51
18,19,76,11,17,6,14,37,38,81,lz4,30.34,41.41
4,2,46,11,4,14,15,43,58,28,gzip,9.23,78.26
12,23,67,3,11,2,16,42,25,78,none,34.41,67.78
1,13,70,7,10,5,16,5,59,20,gzip,9.32,92.91
5,16,62,8,16,16,17,39,52,33,none,35.2,30.39
10,12,31,17,1,7,18,33,62,56,none,17.02,3457.26
2,7,7,1,3,6,18,35,5,19,lz4,14.42,2152.45
