num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
3,8,10,1,10,10,10,16,4,0,none,7.11,3946.84
20,24,23,14,3,4,17,21,28,29,lz4,12.5,2838.25
19,24,44,19,20,7,18,31,6,97,none,8.73,6079.69
18,7,21,17,1,17,12,9,40,51,none,11.63,1408.21
14,9,50,11,14,6,7,15,55,28,gzip,6.85,124.78
13,9,27,11,5,13,30,33,7,50,snappy,8.93,6088.92
20,2,21,7,3,6,25,39,37,0,snappy,12.73,4612.9
8,17,95,16,16,6,4,45,49,18,lz4,15.22,4135.19
20,12,86,10,13,11,18,12,10,60,none,10.77,2020.37
3,24,53,12,4,5,22,22,16,25,snappy,11.63,3139.54
8,3,8,6,3,13,17,10,28,3,gzip,7.25,35.4
14,6,12,14,4,11,20,8,40,37,gzip,7.03,94.33
2,23,10,3,9,9,30,39,43,17,gzip,7,98.85
2,21,44,15,9,5,1,37,63,29,gzip,6.98,140.4
6,11,93,16,11,2,21,42,47,25,gzip,7.03,109.91
1,6,87,12,12,18,25,37,54,33,lz4,14.9,3442.91
15,8,69,4,12,3,17,42,30,11,none,14.64,4474.94
2,5,66,11,6,18,23,2,60,31,none,14.56,225.35
13,10,35,18,12,10,13,44,12,14,gzip,7.38,32.51
1,20,77,17,9,8,14,48,42,33,lz4,14.53,4629.07
5,1,66,11,18,15,13,45,31,46,gzip,7.02,73.38
11,4,16,17,8,8,29,39,37,5,lz4,13.6,3969.15
17,15,97,4,18,5,23,46,37,18,lz4,14.59,4319.32
20,5,70,17,14,3,15,2,6,92,lz4,8.29,418.47
4,14,76,13,5,16,25,39,37,57,snappy,13.47,4295.08
17,8,67,20,9,9,22,11,26,42,snappy,13.24,1403.48
7,6,93,16,18,16,24,43,51,37,lz4,15.62,3815.69
15,9,63,17,14,17,6,22,33,41,snappy,14.28,2496.9
1,6,87,12,12,16,25,37,54,33,lz4,15.61,3427.31
2,4,51,4,16,8,10,17,64,45,gzip,6.94,144.89
7,6,93,16,18,16,24,43,51,37,lz4,15.76,3632.91
