num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
3,8,10,1,10,10,10,16,4,0,none,27.21,243.52
19,17,88,15,15,5,3,47,10,47,gzip,7.69,18.63
15,4,24,18,11,1,1,25,61,23,lz4,25.27,37.5
1,20,54,1,6,17,18,26,12,54,snappy,21.46,38.23
3,21,35,9,15,14,3,5,34,91,none,31.9,24.89
12,8,59,11,12,4,7,36,30,51,snappy,20.63,273.42
15,8,38,13,9,10,27,3,38,82,gzip,7.03,65.13
1,20,75,2,2,14,21,2,50,75,none,17.01,192.38
4,16,55,4,15,18,22,45,21,11,snappy,24.45,20.42
5,7,65,17,17,9,12,24,6,64,none,26.57,30.6
20,7,49,16,8,5,26,44,4,91,none,27.19,150.75
1,16,46,6,17,2,25,32,52,55,snappy,23.22,142.58
3,2,98,1,9,11,14,25,14,35,none,29.67,23.66
6,15,91,12,13,19,14,16,36,49,lz4,25.34,25.04
11,9,93,2,4,10,27,45,44,7,gzip,6.99,51.96
1,13,91,17,3,6,12,1,51,43,snappy,16.55,72.6
12,14,88,15,18,16,25,13,27,67,snappy,24.9,22.13
2,17,19,6,9,15,23,5,32,43,gzip,6.95,60.83
19,22,90,18,18,20,1,19,24,36,snappy,23.68,30.22
1,16,69,13,3,8,8,12,15,37,gzip,7.35,28.27
14,24,65,14,14,16,8,8,39,2,gzip,7.5,17.46
17,1,19,7,15,16,20,42,55,88,lz4,24.8,35.35
8,5,72,16,9,12,2,10,42,72,none,32.03,27.16
7,5,80,13,14,14,9,7,27,46,snappy,24.96,20.95
15,5,61,4,9,8,6,11,25,43,none,30.49,22.04
1,4,26,16,20,3,25,38,23,97,snappy,18.38,2156.61
16,1,79,6,7,10,6,12,14,1,lz4,22.06,39.27
19,3,40,3,17,2,8,43,48,0,none,22.71,2374.03
13,7,11,14,8,11,3,4,45,21,lz4,25.28,30.49
8,23,7,6,18,13,27,23,51,43,gzip,7.02,86.1
8,5,72,16,9,12,2,10,42,72,none,30.97,27.82
