num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
19,21,10,11,22,12,23,7,30,49,none,20.36,26.12
10,11,17,14,11,8,9,22,56,56,lz4,17.66,37.75
30,34,4,12,25,17,23,23,66,50,none,20.31,38.19
14,12,67,7,8,17,33,21,52,87,none,20.81,32.9
17,25,89,7,22,15,17,13,25,58,none,20.2,23.16
12,12,17,6,9,10,18,2,24,40,none,20.19,21.55
4,5,20,9,12,8,11,7,15,58,none,20.27,18.38
13,24,52,5,7,12,14,6,25,75,lz4,17.12,21.08
8,24,59,9,15,11,18,15,29,98,none,20.45,25.65
11,26,46,9,8,10,13,4,23,87,lz4,17.36,20.42
11,10,36,4,2,12,21,13,28,15,snappy,15.75,33
11,15,19,12,14,13,11,13,58,29,lz4,17.86,40.84
14,11,25,1,8,9,20,26,44,44,none,20.49,31.4
11,3,35,7,7,12,15,43,28,20,lz4,17.6,23.82
10,24,49,8,10,10,12,6,22,84,lz4,16.9,17.74
13,24,10,9,24,20,16,2,58,54,none,20.66,35.8
8,20,33,5,11,9,4,4,19,68,lz4,17.32,16.79
6,8,56,5,6,12,23,19,26,33,none,19.36,28.02
15,21,12,18,16,11,12,10,79,70,lz4,17.38,47.56
5,12,30,10,7,9,7,29,27,83,snappy,15.57,33.85
6,16,54,17,17,8,15,37,17,79,lz4,16.04,16.51
14,17,16,17,15,11,10,35,75,62,lz4,17.52,51.4
19,29,2,15,28,20,20,10,54,54,none,20.77,33.17
