num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
5,13,78,9,4,5,24,8,29,42,lz4,43.35,48.08
10,13,48,8,19,13,2,4,14,77,snappy,43.77,16.44
3,8,10,1,10,10,10,16,4,0,none,39.96,270.22
9,6,88,10,9,16,2,46,59,56,snappy,44.43,47.37
20,9,5,6,2,12,21,20,56,73,gzip,7.9,213.63
4,8,63,14,5,14,17,48,19,76,lz4,40.26,59.85
19,23,83,19,6,5,30,14,53,88,none,33.14,1347.92
7,23,39,20,6,7,1,33,61,22,lz4,47.32,49.86
12,10,68,11,4,6,7,46,32,78,snappy,43.15,35.91
6,14,92,11,20,7,21,28,20,17,none,49.02,22.11
7,1,18,12,14,1,28,23,36,86,none,51.46,44.18
2,2,38,19,14,9,29,35,57,58,none,52.11,54.04
14,14,58,18,11,7,27,18,49,36,snappy,43.32,41.76
16,13,19,11,12,20,9,16,51,83,gzip,7.84,181.37
13,19,82,9,1,14,2,6,64,49,snappy,28.15,741.5
6,11,74,12,10,5,25,5,12,3,gzip,7.79,22.86
6,20,7,11,3,9,10,14,22,45,none,17.49,2558.87
20,22,8,7,1,9,13,30,45,99,gzip,7.9,159.36
5,21,50,1,5,12,14,5,39,10,snappy,18.18,725.26
11,14,16,1,20,4,7,15,17,95,gzip,7.8,62.4
6,21,20,10,6,2,29,10,2,89,lz4,23.9,1569.75
8,15,5,2,17,7,22,23,47,73,snappy,45.22,42.34
9,22,40,11,18,15,20,10,20,35,none,44.78,58.67
5,17,4,19,12,10,20,31,15,36,lz4,42.23,20.25
1,22,77,13,14,8,1,23,21,64,snappy,37.22,70.77
14,19,36,17,3,11,26,38,28,52,lz4,43.36,42.09
8,20,23,15,17,13,13,47,8,52,snappy,38.5,18.59
18,5,37,19,13,19,26,37,64,88,snappy,39.71,86.53
1,20,87,11,18,10,2,44,34,93,snappy,44.32,44.79
1,21,66,14,18,17,7,39,24,50,gzip,7.89,93.1
8,24,99,12,14,19,22,17,43,16,none,26.71,36.18
6,10,65,4,12,2,13,40,37,41,none,54.08,33.74
6,10,65,4,12,2,13,40,37,41,none,51.53,50.12
