num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
1,7,65,10,10,12,18,0,35,22,gzip,7.34,83.55
0,8,42,9,15,15,24,13,27,1,none,14.38,1738.64
14,15,64,7,11,8,10,8,37,19,snappy,15.02,1005.8
14,14,41,0,12,14,13,9,33,34,gzip,7.08,79.61
17,16,85,1,10,17,22,38,26,89,lz4,14.13,4245.65
6,1,64,9,10,3,2,7,24,68,none,14.07,1033.82
11,13,54,16,4,15,19,32,23,79,snappy,12.91,4037.32
7,12,6,19,16,13,10,45,14,36,none,12.52,5959.04
15,21,36,7,4,17,26,6,52,27,snappy,14.62,772.02
14,19,24,19,19,9,6,13,12,37,lz4,11.54,2089.27
3,6,33,2,13,17,10,34,12,53,lz4,11.5,4955.13
16,4,38,18,2,12,5,16,62,66,none,15.03,1975.08
14,17,63,2,2,3,15,7,37,2,none,13.39,1070.2
14,17,43,0,6,13,25,26,20,29,gzip,7.31,52.37
2,16,18,17,7,4,3,36,43,69,none,14.81,4041.82
19,6,66,3,15,2,19,29,48,79,snappy,14.81,3113.09
4,3,47,8,10,2,8,3,17,55,none,12.93,567.45
13,11,5,6,19,0,17,37,35,93,lz4,14.16,4183.57
2,2,48,0,18,12,8,47,15,13,gzip,7.24,42.32
1,6,79,11,5,17,2,24,34,19,snappy,13.79,2868
16,4,38,18,11,8,5,16,62,66,snappy,15.75,1718.31
16,4,38,18,2,11,5,16,62,66,snappy,14.52,1932
16,4,38,18,14,19,5,16,62,73,none,16.53,1788.25
18,4,93,15,0,19,12,27,47,8,snappy,11.43,3922.68
12,20,55,12,14,16,0,11,44,76,snappy,15.49,1278.64
5,18,52,4,3,6,4,43,42,73,none,14.45,4776.92
10,5,98,5,8,7,23,20,41,77,snappy,14.81,2298.16
