num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
12,10,41,13,15,16,15,1,47,72,lz4,37,55.34
20,15,26,17,14,17,14,34,26,87,none,52.24,27.6
6,14,51,13,11,13,13,8,55,58,lz4,46.49,46.45
13,9,8,15,11,17,22,47,52,57,none,56.02,40.23
4,7,68,11,15,2,22,24,39,64,gzip,7.86,140.68
11,10,11,10,9,5,23,32,35,52,none,52.79,34.48
21,6,25,18,15,26,33,47,74,39,none,51.64,54.34
8,20,107,17,14,12,14,42,51,118,lz4,48.17,42.08
17,6,84,4,10,10,14,23,55,9,none,53.16,38.72
10,10,73,15,10,5,18,30,34,41,none,48.72,39.6
16,2,35,6,14,16,24,12,47,31,none,51.9,36.96
6,8,41,11,10,8,3,38,18,56,lz4,46.53,23.22
21,6,94,17,13,4,26,51,35,46,lz4,47.91,30.54
2,18,74,17,13,15,21,19,62,51,lz4,50.11,54.32
18,6,71,15,15,2,21,41,26,44,none,55.5,23.73
14,4,56,5,9,5,16,17,63,16,none,50,53.14
17,7,17,15,20,21,4,4,36,62,none,53.89,29.44
22,6,71,14,16,7,25,51,32,43,none,56.42,26.15
9,7,25,7,11,3,19,22,24,28,gzip,7.97,84.86
13,6,25,6,14,10,16,4,21,47,none,55.89,22.88
6,14,80,16,12,7,24,29,40,57,none,55.14,32.19
12,8,14,10,9,6,28,26,40,59,none,57.76,39.12
1,11,75,7,11,8,22,20,38,22,lz4,43.43,62.43
12,6,79,2,11,7,15,16,56,14,none,53.7,38.57
14,11,16,9,16,11,2,7,13,34,none,48.28,19.07
12,3,74,6,13,13,19,9,73,36,none,51.74,49.68
10,15,99,24,12,9,26,40,42,56,none,56.18,32.73
13,4,57,5,11,2,23,14,62,27,none,53.27,49.64
12,12,11,12,8,10,26,42,57,46,none,50.86,48.1
22,10,12,19,19,22,7,34,34,71,none,61.76,26.99
