spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,16417,0.6286737067999524,0.13264158492924621,144,true,true,false,true,lzf,88,27,org.apache.spark.serializer.JavaSerializer,269890
4,13925,0.7277062075753905,0.4792103627215427,118,true,false,false,true,lz4,91,29,org.apache.spark.serializer.JavaSerializer,253470
2,13284,0.7049760831844587,0.31995948081477066,36,false,false,false,false,lz4,68,41,org.apache.spark.serializer.JavaSerializer,373597
1,5186,0.27433339359241443,0.845920639602712,95,true,true,true,false,snappy,11,22,org.apache.spark.serializer.KryoSerializer,920680
4,15301,0.8938099593466714,0.4556822653166287,180,true,true,true,false,lzf,29,30,org.apache.spark.serializer.JavaSerializer,250183
3,11383,0.5154130419576964,0.4741148427545928,80,true,false,true,false,lzf,31,22,org.apache.spark.serializer.JavaSerializer,347945
4,9359,0.5805578950743898,0.711734372749602,192,false,true,true,true,lz4,28,62,org.apache.spark.serializer.KryoSerializer,567361
3,11418,0.26198010505538616,0.7497430732766052,38,false,false,false,true,lz4,22,52,org.apache.spark.serializer.JavaSerializer,1105781
1,19631,0.292571423710586,0.11014483213561217,62,false,false,true,false,snappy,26,12,org.apache.spark.serializer.KryoSerializer,902155
4,4935,0.1942165641224289,0.8166159595021257,171,false,true,true,true,snappy,73,21,org.apache.spark.serializer.KryoSerializer,1346440
2,10050,0.8078979387476078,0.10773591946323924,160,true,true,false,true,snappy,41,54,org.apache.spark.serializer.KryoSerializer,240090
1,18042,0.6627335906013911,0.45600978905194556,153,true,true,false,false,snappy,36,54,org.apache.spark.serializer.KryoSerializer,689635
4,7998,0.28872421394603337,0.21838263424576265,73,false,true,false,true,snappy,33,63,org.apache.spark.serializer.KryoSerializer,1058342
2,19086,0.6964848344885826,0.217383489957376,41,false,true,false,true,lz4,28,40,org.apache.spark.serializer.KryoSerializer,349382
3,11550,0.4020076893735858,0.4751943562569583,97,false,false,false,false,snappy,30,58,org.apache.spark.serializer.JavaSerializer,814044
