spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
3,4409,0.6040579984488688,0.44511157919195643,54,true,true,false,false,lz4,43,23,org.apache.spark.serializer.JavaSerializer,208390
2,16634,0.5171712272377279,0.8308336125205211,201,true,true,true,false,lzf,60,60,org.apache.spark.serializer.JavaSerializer,196033
2,4530,0.731472117896329,0.11691158001852156,162,false,false,true,true,snappy,96,53,org.apache.spark.serializer.KryoSerializer,168291
4,16512,0.36589624630212014,0.5108947520907148,14,true,false,false,true,snappy,47,15,org.apache.spark.serializer.JavaSerializer,255022
3,7988,0.306240244501953,0.6918011912076196,156,true,false,false,true,lz4,88,36,org.apache.spark.serializer.JavaSerializer,213796
4,14311,0.7013727452342792,0.38722592515386534,55,false,false,true,true,lz4,81,59,org.apache.spark.serializer.JavaSerializer,182159
1,12811,0.7465588644722126,0.812838536181168,165,false,true,true,false,lz4,40,42,org.apache.spark.serializer.KryoSerializer,288611
2,12425,0.13878982432717973,0.8861857491268701,140,false,true,false,false,lzf,78,34,org.apache.spark.serializer.KryoSerializer,194437
2,13796,0.46751509305465766,0.19658784722945344,78,true,true,false,true,lzf,66,29,org.apache.spark.serializer.JavaSerializer,220716
1,8186,0.7212493321046809,0.4544599754862835,44,false,true,false,false,lz4,38,39,org.apache.spark.serializer.JavaSerializer,205935
1,11258,0.6288438056472343,0.8915376286474342,206,false,false,false,false,snappy,45,45,org.apache.spark.serializer.JavaSerializer,268436
4,10403,0.6931522733880227,0.6320077413920163,183,true,true,true,false,lzf,89,13,org.apache.spark.serializer.KryoSerializer,171435
2,16022,0.23861192677179865,0.2897282716561498,149,true,false,false,true,snappy,81,53,org.apache.spark.serializer.KryoSerializer,221434
2,19870,0.7881646105688344,0.7037852083240869,62,true,true,true,true,lz4,10,8,org.apache.spark.serializer.JavaSerializer,202470
2,9472,0.18539214733876036,0.8232586532837373,201,false,false,false,true,lzf,13,48,org.apache.spark.serializer.KryoSerializer,195914
2,6372,0.6554163942782112,0.7337671882455957,63,true,true,true,true,lzf,14,21,org.apache.spark.serializer.JavaSerializer,226694
3,12358,0.1971453587554322,0.32824134081982936,31,false,true,true,false,lzf,45,33,org.apache.spark.serializer.KryoSerializer,226306
3,8573,0.2496638469859839,0.490595446137173,139,false,false,true,true,lz4,76,37,org.apache.spark.serializer.JavaSerializer,197556
3,15855,0.8012469165519348,0.6487654912364276,117,false,true,false,true,snappy,9,45,org.apache.spark.serializer.JavaSerializer,201147
4,4353,0.676556305518021,0.8747273872497623,41,true,false,false,false,lz4,55,39,org.apache.spark.serializer.KryoSerializer,190490
