spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,6841,0.695796619,0.488881179,20,FALSE,TRUE,TRUE,TRUE,snappy,43,28,org.apache.spark.serializer.JavaSerializer,104002
4,7089,0.715824362,0.448104552,19,FALSE,TRUE,TRUE,TRUE,snappy,41,30,org.apache.spark.serializer.JavaSerializer,104583
4,8598,0.794538143,0.290594945,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,105051
4,8690,0.79215593,0.296741777,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,105213
4,8740,0.770220628,0.338005608,13,TRUE,FALSE,FALSE,FALSE,lz4,35,38,org.apache.spark.serializer.JavaSerializer,105282
4,8624,0.793814901,0.292487963,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,105388
4,5780,0.669343022,0.548235287,23,FALSE,TRUE,TRUE,TRUE,snappy,45,24,org.apache.spark.serializer.JavaSerializer,105736
4,8560,0.797790311,0.2939345,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,105823
4,8606,0.794517666,0.288814667,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106088
4,8584,0.796491241,0.293291363,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106256
4,8612,0.795138771,0.292484446,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106279
4,8620,0.79380334,0.29204997,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106505
4,8577,0.796742325,0.286832827,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106549
4,8561,0.797731795,0.292686948,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106633
4,8613,0.795337207,0.29157283,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,106796
4,8571,0.798592948,0.291338638,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107121
4,5439,0.664145924,0.547313984,23,FALSE,TRUE,TRUE,TRUE,snappy,45,23,org.apache.spark.serializer.JavaSerializer,107130
4,8601,0.795497942,0.290086607,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107139
4,8610,0.794611,0.295211435,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107145
4,8610,0.795010074,0.290741883,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107247
4,8597,0.796032745,0.295427038,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107328
4,8612,0.794737525,0.291842788,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107560
4,8641,0.792678399,0.295651286,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107571
4,8551,0.798824255,0.292232473,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107624
4,8609,0.795183102,0.290790884,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107731
4,8609,0.79667653,0.292777024,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107754
4,8790,0.780866988,0.310347628,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107835
4,8561,0.797948154,0.293184603,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,107889
4,8623,0.793815601,0.291248876,12,TRUE,FALSE,FALSE,FALSE,lz4,34,38,org.apache.spark.serializer.JavaSerializer,108068
4,8591,0.796296471,0.293179452,12,TRUE,FALSE,FALSE,FALSE,lz4,34,38,org.apache.spark.serializer.JavaSerializer,108315
4,8574,0.798780439,0.29393824,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,108607
4,8565,0.797900838,0.293069265,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,108615
4,8628,0.794273655,0.296418271,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,108664
4,8531,0.799878191,0.290862864,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,108816
4,8755,0.785507669,0.305323558,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,108822
4,8615,0.794612936,0.293926057,12,TRUE,FALSE,FALSE,FALSE,lz4,34,38,org.apache.spark.serializer.JavaSerializer,108896
4,9652,0.637969613,0.492806949,13,TRUE,FALSE,FALSE,FALSE,lz4,50,36,org.apache.spark.serializer.JavaSerializer,108993
4,8605,0.79536418,0.28890416,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,109001
4,8613,0.794528702,0.291334652,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,109101
4,8631,0.794050666,0.292108714,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,109160
4,8598,0.795146421,0.293593391,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,109569
4,8577,0.796692127,0.293722167,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,109668
4,8611,0.794189195,0.290644865,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,110201
4,8599,0.79529508,0.295362673,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,110319
4,8642,0.792630085,0.294994734,12,TRUE,FALSE,FALSE,FALSE,lz4,34,39,org.apache.spark.serializer.JavaSerializer,110516
