column_index_size_in_kb,commitlog_sync_period_in_ms,compaction_throughput_mb_per_sec,in_memory_compaction_limit_in_mb,memtable_flush_queue_size,reduce_cache_capacity_to,reduce_cache_sizes_at,commitlog_segment_size_in_mb,compaction_preheat_key_cache,multithreaded_compaction,commitlog_sync,Throughput
117,19817,17,114,4,0.8,0.41,8,false,true,periodic,8410.428931875525
74,16585,19,60,8,0.3,0.31,32,true,true,periodic,8298.755186721992
120,17867,26,80,4,0.2,0.76,8,false,false,batch,7633.587786259542
69,17051,18,83,8,0.8,0.8,8,true,false,batch,6472.491909385113
34,15437,30,46,5,0.2,0.71,16,true,true,periodic,5810.575246949448
96,12376,26,44,8,0.9,0.74,16,false,true,batch,7199.424046076314
61,12087,23,88,8,0.9,0.65,16,false,true,periodic,8000.0
39,11280,17,74,4,0.7,0.68,16,true,true,batch,7905.138339920949
52,17260,18,106,8,0.4,0.95,8,false,false,batch,4230.118443316413
114,12363,32,62,5,0.0,0.65,16,false,true,batch,5837.711617046118
74,10887,17,100,8,0.3,0.1,16,true,true,batch,6053.268765133172
45,15606,30,41,7,0.2,0.97,32,false,false,batch,6027.727546714888
61,17678,31,39,7,0.6,0.85,16,false,false,periodic,8620.689655172413
62,14997,21,98,6,0.8,0.76,16,false,false,periodic,8319.467554076538
112,11933,26,47,6,0.0,0.22,32,true,false,periodic,10471.204188481675
89,15736,29,45,7,0.9,0.58,8,false,true,batch,5878.894767783657
41,13182,23,53,5,0.5,0.96,32,false,true,batch,6644.518272425249
61,11857,32,124,4,0.3,0.04,32,true,true,batch,6188.118811881188
50,15424,31,83,7,0.5,0.41,32,false,true,batch,4474.27293064877
68,11232,18,99,5,0.4,0.57,8,true,false,batch,5920.663114268798
85,15316,19,56,5,0.0,0.4,16,true,true,periodic,11061.946902654867
78,19739,25,75,8,0.5,0.6,32,true,true,batch,6455.777921239509
71,18395,17,89,4,0.9,0.53,16,true,true,batch,8417.508417508418
37,10963,23,49,5,0.6,0.27,16,false,true,periodic,11074.197120708748
99,16928,23,81,4,0.5,0.64,16,true,true,batch,2759.381898454746
86,17318,21,105,5,0.2,0.88,16,true,false,batch,3648.3035388544326
104,11963,25,92,4,0.3,0.09,16,true,false,batch,6821.2824010914055
106,10659,17,66,7,0.9,0.48,8,false,true,batch,6142.506142506142
90,14533,24,116,8,0.5,0.72,16,false,false,batch,5757.052389176742
74,10847,32,95,8,0.4,0.17,32,false,true,batch,5274.261603375528
77,17373,30,34,6,0.5,0.19,16,false,true,batch,7936.507936507936
42,15793,23,41,7,0.5,0.88,32,false,false,periodic,8591.06529209622
47,13914,30,57,7,0.9,0.39,32,false,true,periodic,9578.544061302682
87,15200,32,77,8,0.4,0.08,32,true,false,batch,6631.29973474801
126,12593,22,60,8,0.1,0.33,16,false,true,periodic,8143.322475570033
94,16291,31,81,8,0.7,0.78,8,false,false,batch,5675.368898978433
46,19552,32,114,4,0.3,0.5,8,false,true,batch,7812.5
104,15480,26,83,8,0.9,0.29,32,false,false,periodic,8703.220191470844
117,12682,28,109,8,0.1,0.7,32,false,true,batch,5847.953216374269
86,12313,17,102,8,0.3,0.71,8,false,true,batch,6127.450980392156
67,15903,17,32,5,1.0,0.32,16,false,false,periodic,8810.572687224669
52,10228,20,75,8,0.5,0.55,32,true,false,batch,5449.591280653951
85,19428,30,35,6,0.2,0.47,32,false,true,periodic,8873.114463176575
117,17022,25,126,7,0.3,0.74,16,true,true,periodic,9380.863039399625
54,15659,27,50,6,0.7,0.63,32,false,false,periodic,9569.377990430621
42,12844,18,97,4,0.4,0.04,8,false,true,batch,4389.815627743635
101,18792,25,64,7,0.7,0.26,8,false,false,periodic,8183.306055646482
47,15650,19,114,4,0.5,0.84,8,false,false,batch,6983.2402234636875
119,18226,30,109,7,0.5,0.16,32,true,true,batch,4336.513443191674
51,18936,21,122,6,0.6,0.98,32,true,false,periodic,8176.6148814390845
60,19834,19,97,7,0.4,0.66,16,true,false,periodic,8849.557522123894
96,14043,29,38,5,0.3,0.37,32,true,true,batch,6410.25641025641
82,15817,17,69,7,0.8,0.43,32,false,false,periodic,7087.172218284904
45,18390,20,51,5,0.8,0.6,8,true,true,batch,6565.988181221273
125,17182,19,40,8,0.7,0.25,32,true,false,periodic,7412.898443291327
43,10736,21,114,8,0.6,0.27,16,false,false,batch,4095.004095004095
110,10920,21,115,4,0.8,0.98,32,true,false,periodic,8912.6559714795
54,19730,17,98,5,0.3,0.4,16,true,false,batch,7627.765064836003
56,15908,16,49,6,1.0,0.33,8,false,true,batch,5991.611743559018
128,15048,29,84,7,0.8,0.96,16,false,true,periodic,9174.311926605504
126,17837,23,48,5,0.7,0.8,8,false,true,periodic,9009.009009009009
35,17573,30,91,6,0.3,0.3,8,false,false,periodic,10152.284263959391
38,17851,29,56,7,0.5,0.23,8,false,false,periodic,8650.519031141868
69,19064,29,53,7,0.4,0.0,32,false,true,periodic,9000.900090009001
63,18122,31,74,8,0.4,0.26,8,true,false,batch,6706.9081153588195
119,15658,21,39,6,0.5,0.04,32,false,true,periodic,9276.437847866418
94,16341,26,114,4,0.4,0.76,32,true,true,periodic,9680.54211035818
108,13701,32,48,6,0.5,0.42,32,true,false,periodic,10020.040080160321
42,17565,25,125,6,0.6,0.7,8,false,true,batch,6784.260515603799
75,17102,23,41,6,0.0,0.91,32,true,true,batch,6238.303181534623
40,17079,26,65,5,0.6,0.23,16,false,false,batch,6891.7987594762235
56,10459,21,89,5,0.5,0.64,16,false,false,periodic,10952.90251916758
