XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,75,10,200,TRUE,10000,TRUE,2048,5256.241787
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,100,100,FALSE,10000,FALSE,1024,5098.48575
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,10,50,TRUE,10000,FALSE,1024,4526.798648
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,50,100,FALSE,10000,TRUE,2048,5169.917971
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,50,100,TRUE,10000,FALSE,2048,6435.006435
64,256,512,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,100,50,FALSE,10000,FALSE,1024,7196.833393
128,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,10,50,TRUE,10000,FALSE,2048,4508.769557
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,100,100,FALSE,10000,FALSE,1024,6653.507507
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,50,200,FALSE,10000,TRUE,1024,6943.8015
128,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,50,75,50,100,TRUE,10000,TRUE,2048,3831.319762
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,500,50,75,50,200,FALSE,10000,FALSE,2048,6357.413804
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,250,50,50,FALSE,10000,FALSE,2048,6854.792643
256,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,10,100,TRUE,10000,TRUE,2048,6320.446645
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,100,100,TRUE,10000,FALSE,1024,6600.079201
128,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,50,75,10,200,FALSE,10000,TRUE,2048,6307.689073
128,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,250,10,100,FALSE,10000,FALSE,2048,7062.313143
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,1000,50,75,50,200,TRUE,10000,TRUE,1024,3611.499013
