protocol,XX:MaxNewSize,Xms,Xmx,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
org.apache.coyote.http11.Http11AprProtocol,70,68,137,4407,345,45,259,64,99,FALSE,16890,FALSE,1030,12694.44
org.apache.coyote.http11.Http11AprProtocol,68,72,146,4288,966,51,80,51,101,FALSE,29911,FALSE,2051,11074.0661
org.apache.coyote.http11.Http11AprProtocol,63,70,145,4767,502,50,77,99,95,FALSE,12384,FALSE,999,11003.41479
org.apache.coyote.http11.Http11AprProtocol,65,69,159,4677,471,51,61,99,92,FALSE,10947,FALSE,1044,10819.42345
org.apache.coyote.http11.Http11AprProtocol,63,68,131,4111,994,74,140,51,145,FALSE,30440,FALSE,2055,9744.333729
org.apache.coyote.http11.Http11AprProtocol,65,88,165,5496,352,52,108,99,87,FALSE,22889,FALSE,1024,9712.478791
org.apache.coyote.http11.Http11AprProtocol,76,85,154,5388,758,51,87,78,82,FALSE,20694,FALSE,1425,8707.921174
org.apache.coyote.http11.Http11AprProtocol,67,74,141,4728,465,52,91,97,95,FALSE,15256,FALSE,1040,8595.898215
org.apache.coyote.http11.Http11AprProtocol,94,103,196,6194,1031,53,106,49,87,FALSE,29988,FALSE,2025,8582.075972
org.apache.coyote.http11.Http11AprProtocol,69,69,143,4212,975,52,98,49,107,FALSE,28957,FALSE,2064,8549.44889
org.apache.coyote.http11.Http11AprProtocol,68,69,140,4162,981,53,98,50,107,FALSE,29681,FALSE,2054,7539.39333
org.apache.coyote.http11.Http11AprProtocol,79,69,152,4713,562,48,377,41,119,FALSE,29876,FALSE,1593,7517.854905
org.apache.coyote.http11.Http11AprProtocol,71,74,152,4284,832,58,190,62,117,FALSE,34078,FALSE,1912,7517.666516
org.apache.coyote.http11.Http11AprProtocol,64,63,129,4101,485,51,86,99,101,FALSE,11315,FALSE,1029,7396.632067
org.apache.coyote.http11.Http11AprProtocol,64,88,177,5759,185,50,180,100,79,FALSE,30223,FALSE,1046,7352.941176
org.apache.coyote.http11.Http11AprProtocol,61,66,129,4097,985,73,132,53,142,FALSE,30211,FALSE,2038,7338.372349
org.apache.coyote.http11.Http11AprProtocol,67,92,196,6175,355,50,149,93,79,FALSE,29913,FALSE,1174,7239.032865
org.apache.coyote.http11.Http11AprProtocol,67,64,128,4078,365,50,137,101,100,FALSE,16715,FALSE,1024,7234.843004
org.apache.coyote.http11.Http11AprProtocol,66,71,138,4121,986,90,230,49,177,FALSE,30264,FALSE,2031,7229.264061
org.apache.coyote.http11.Http11AprProtocol,67,72,143,4415,965,52,78,51,101,FALSE,30008,FALSE,2054,7167.431193
org.apache.coyote.http11.Http11AprProtocol,72,71,159,5071,240,40,443,36,107,FALSE,22000,FALSE,1086,7160.246312
org.apache.coyote.http11.Http11AprProtocol,282,131,577,8743,424,115,302,112,66,TRUE,30343,FALSE,2067,7144.217946
org.apache.coyote.http11.Http11AprProtocol,65,66,130,4354,272,51,215,99,97,FALSE,23576,FALSE,1017,7131.141696
org.apache.coyote.http11.Http11AprProtocol,79,70,160,4495,875,64,256,50,140,FALSE,31488,FALSE,2016,7125.890736
org.apache.coyote.http11.Http11AprProtocol,63,63,130,4063,205,49,245,101,99,FALSE,30347,FALSE,1018,7107.152164
org.apache.coyote.http11.Http11AprProtocol,66,66,128,4227,205,50,252,99,99,FALSE,29358,FALSE,1029,7061.648189
org.apache.coyote.http11.Http11NioProtocol,144,120,294,7366,606,43,301,45,65,TRUE,23295,FALSE,1773,6998.880179
org.apache.coyote.http11.Http11AprProtocol,64,59,122,3901,1002,47,60,52,96,FALSE,28416,FALSE,2016,6944.444444
org.apache.coyote.http11.Http11AprProtocol,63,124,244,8027,194,50,87,100,52,FALSE,29969,FALSE,1006,6922.810661
org.apache.coyote.http11.Http11AprProtocol,63,67,127,4350,425,76,294,75,148,FALSE,15952,FALSE,1171,6864.20318
org.apache.coyote.http11.Http11AprProtocol,60,59,131,3620,292,46,205,95,103,FALSE,22310,FALSE,997,6863.88908
org.apache.coyote.http11.Http11AprProtocol,63,62,124,3879,199,49,252,102,101,FALSE,30131,FALSE,1020,6851.505047
org.apache.coyote.http11.Http11AprProtocol,200,140,444,9370,473,61,334,50,50,TRUE,30983,FALSE,1794,6836.048764
org.apache.coyote.http11.Http11AprProtocol,67,67,130,4347,494,51,83,96,96,FALSE,10350,FALSE,1041,6810.906532
org.apache.coyote.http11.Http11AprProtocol,107,127,251,8420,863,55,95,58,65,TRUE,31556,FALSE,1846,6783.646889
org.apache.coyote.http11.Http11AprProtocol,128,111,243,8109,496,63,186,97,50,TRUE,26661,FALSE,1248,6760.258693
org.apache.coyote.http11.Http11AprProtocol,62,57,128,3899,271,33,496,15,115,FALSE,20674,FALSE,1076,6738.544474
org.apache.coyote.http11.Http11AprProtocol,66,65,126,4446,199,46,309,86,102,FALSE,28730,FALSE,1024,6722.086536
org.apache.coyote.http11.Http11AprProtocol,64,63,126,4044,195,50,257,100,101,FALSE,30090,FALSE,1013,6709.758225
org.apache.coyote.http11.Http11AprProtocol,102,113,206,6992,1016,51,78,52,72,TRUE,29725,FALSE,2022,6699.868236
org.apache.coyote.http11.Http11AprProtocol,118,120,240,7635,1003,67,144,50,96,TRUE,30143,FALSE,1988,6456.61157
org.apache.coyote.http11.Http11AprProtocol,79,88,162,5441,637,76,346,24,167,FALSE,22694,FALSE,1639,6394.952251
org.apache.coyote.http11.Http11AprProtocol,62,60,122,3761,211,50,253,102,102,FALSE,30650,FALSE,1016,6322.178201
org.apache.coyote.http11.Http11AprProtocol,62,60,122,4061,1013,50,70,49,100,FALSE,29995,FALSE,2057,6192.589535
org.apache.coyote.http11.Http11AprProtocol,120,133,249,8091,1006,49,76,49,52,TRUE,30174,FALSE,2025,6144.141561
org.apache.coyote.http11.Http11AprProtocol,59,62,117,3904,1010,83,167,51,165,FALSE,30535,FALSE,2056,5989.69772
org.apache.coyote.http11.Http11AprProtocol,66,61,128,3958,990,49,80,50,101,FALSE,30372,FALSE,2041,5872.680291
org.apache.coyote.http11.Http11AprProtocol,67,66,127,4146,445,50,125,94,99,FALSE,15051,FALSE,1068,5737.893046
org.apache.coyote.http11.Http11AprProtocol,65,65,140,4331,463,49,211,86,101,FALSE,31440,FALSE,1382,5633.168094
org.apache.coyote.http11.Http11AprProtocol,62,50,106,3743,1001,114,274,56,231,FALSE,30192,FALSE,1983,5457.423005
org.apache.coyote.http11.Http11AprProtocol,62,94,190,5968,479,51,54,89,73,FALSE,22478,FALSE,1193,5386.866819
org.apache.coyote.http11.Http11AprProtocol,174,123,330,7364,848,87,232,60,101,TRUE,29822,FALSE,1992,5141.740651
org.apache.coyote.http11.Http11AprProtocol,66,70,143,5019,254,50,474,29,129,FALSE,21267,FALSE,1052,4293.135277
org.apache.coyote.http11.Http11AprProtocol,60,63,127,4293,836,51,76,68,94,FALSE,22415,FALSE,1654,4156.44873
org.apache.coyote.http11.Http11AprProtocol,66,67,130,4402,309,52,192,98,99,FALSE,20655,FALSE,1012,4079.523512
org.apache.coyote.http11.Http11AprProtocol,66,66,131,4358,407,51,127,98,99,FALSE,14357,FALSE,1018,4046.344128
org.apache.coyote.http11.Http11AprProtocol,66,67,131,4291,268,51,218,98,99,FALSE,24535,FALSE,1032,4020.585397
